protocol_key,protocol,conn_state,flag_combo_label,is_handshake,is_teardown
1,tcp,INT,TCP-INT,1,0
2,tcp,CON,TCP-CON,0,0
3,udp,CON,UDP-CON,0,0
4,tcp,RST,TCP-RST,0,1
5,arp,INT,ARP-INT,1,0
6,udp,INT,UDP-INT,1,0
7,tcp,FIN,TCP-FIN,0,1
8,ospf,INT,OSPF-INT,1,0
9,icmp,URH,ICMP-URH,0,0
10,arp,CON,ARP-CON,0,0
11,ospf,REQ,OSPF-REQ,0,0
12,icmp,ECO,ICMP-ECO,0,0
13,igmp,INT,IGMP-INT,1,0
14,sctp,CON,SCTP-CON,0,0
15,udp,REQ,UDP-REQ,0,0
16,tcp,CLO,TCP-CLO,0,0
17,udt,CON,UDT-CON,0,0
18,sep,INT,SEP-INT,1,0
19,icmp,TXD,ICMP-TXD,0,0
20,sun-nd,INT,SUN-ND-INT,1,0
21,swipe,INT,SWIPE-INT,1,0
22,mobile,INT,MOBILE-INT,1,0
23,pim,INT,PIM-INT,1,0
24,sctp,INT,SCTP-INT,1,0
25,icmp,URN,ICMP-URN,0,0
26,icmp,NO,ICMP-NO,0,0
27,tcp,ACC,TCP-ACC,0,0
28,icmp,PAR,ICMP-PAR,0,0
29,rtp,INT,RTP-INT,1,0
30,tcp,REQ,TCP-REQ,0,0
31,icmp,MAS,ICMP-MAS,0,0
32,ipnip,INT,IPNIP-INT,1,0
33,ip,INT,IP-INT,1,0
34,ggp,INT,GGP-INT,1,0
35,st2,INT,ST2-INT,1,0
36,egp,INT,EGP-INT,1,0
37,cbt,INT,CBT-INT,1,0
38,emcon,INT,EMCON-INT,1,0
39,nvp,INT,NVP-INT,1,0
40,igp,INT,IGP-INT,1,0
41,xnet,INT,XNET-INT,1,0
42,argus,INT,ARGUS-INT,1,0
43,bbn-rcc,INT,BBN-RCC-INT,1,0
44,chaos,INT,CHAOS-INT,1,0
45,pup,INT,PUP-INT,1,0
46,hmp,INT,HMP-INT,1,0
47,mux,INT,MUX-INT,1,0
48,dcn,INT,DCN-INT,1,0
49,prm,INT,PRM-INT,1,0
50,trunk-1,INT,TRUNK-1-INT,1,0
51,xns-idp,INT,XNS-IDP-INT,1,0
52,trunk-2,INT,TRUNK-2-INT,1,0
53,leaf-1,INT,LEAF-1-INT,1,0
54,leaf-2,INT,LEAF-2-INT,1,0
55,irtp,INT,IRTP-INT,1,0
56,rdp,INT,RDP-INT,1,0
57,iso-tp4,INT,ISO-TP4-INT,1,0
58,netblt,INT,NETBLT-INT,1,0
59,mfe-nsp,INT,MFE-NSP-INT,1,0
60,merit-inp,INT,MERIT-INP-INT,1,0
61,3pc,INT,3PC-INT,1,0
62,xtp,INT,XTP-INT,1,0
63,idpr,INT,IDPR-INT,1,0
64,tp++,INT,TP++-INT,1,0
65,ddp,INT,DDP-INT,1,0
66,idpr-cmtp,INT,IDPR-CMTP-INT,1,0
67,ipv6,INT,IPV6-INT,1,0
68,il,INT,IL-INT,1,0
69,idrp,INT,IDRP-INT,1,0
70,ipv6-frag,INT,IPV6-FRAG-INT,1,0
71,sdrp,INT,SDRP-INT,1,0
72,ipv6-route,INT,IPV6-ROUTE-INT,1,0
73,gre,INT,GRE-INT,1,0
74,rsvp,INT,RSVP-INT,1,0
75,mhrp,INT,MHRP-INT,1,0
76,bna,INT,BNA-INT,1,0
77,esp,INT,ESP-INT,1,0
78,i-nlsp,INT,I-NLSP-INT,1,0
79,narp,INT,NARP-INT,1,0
80,ipv6-no,INT,IPV6-NO-INT,1,0
81,tlsp,INT,TLSP-INT,1,0
82,skip,INT,SKIP-INT,1,0
83,ipv6-opts,INT,IPV6-OPTS-INT,1,0
84,any,INT,ANY-INT,1,0
85,cftp,INT,CFTP-INT,1,0
86,sat-expak,INT,SAT-EXPAK-INT,1,0
87,kryptolan,INT,KRYPTOLAN-INT,1,0
88,rvd,INT,RVD-INT,1,0
89,ippc,INT,IPPC-INT,1,0
90,sat-mon,INT,SAT-MON-INT,1,0
91,ipcv,INT,IPCV-INT,1,0
92,visa,INT,VISA-INT,1,0
93,cpnx,INT,CPNX-INT,1,0
94,cphb,INT,CPHB-INT,1,0
95,wsn,INT,WSN-INT,1,0
96,pvp,INT,PVP-INT,1,0
97,br-sat-mon,INT,BR-SAT-MON-INT,1,0
98,wb-mon,INT,WB-MON-INT,1,0
99,wb-expak,INT,WB-EXPAK-INT,1,0
100,iso-ip,INT,ISO-IP-INT,1,0
101,secure-vmtp,INT,SECURE-VMTP-INT,1,0
102,vmtp,INT,VMTP-INT,1,0
103,vines,INT,VINES-INT,1,0
104,ttp,INT,TTP-INT,1,0
105,nsfnet-igp,INT,NSFNET-IGP-INT,1,0
106,dgp,INT,DGP-INT,1,0
107,tcf,INT,TCF-INT,1,0
108,eigrp,INT,EIGRP-INT,1,0
109,sprite-rpc,INT,SPRITE-RPC-INT,1,0
110,larp,INT,LARP-INT,1,0
111,mtp,INT,MTP-INT,1,0
112,ax.25,INT,AX.25-INT,1,0
113,ipip,INT,IPIP-INT,1,0
114,micp,INT,MICP-INT,1,0
115,aes-sp3-d,INT,AES-SP3-D-INT,1,0
116,encap,INT,ENCAP-INT,1,0
