time_key,year,month,day,hour,day_of_week,week,is_business_hours,is_weekend,time_bucket
1,2017,7,6,15,Thursday,27,1,0,Afternoon
2,2017,7,7,16,Friday,27,1,0,Afternoon
3,2017,7,5,11,Wednesday,27,1,0,Morning
4,2017,7,7,18,Friday,27,0,0,Evening
5,2017,7,7,12,Friday,27,1,0,Afternoon
6,2017,7,4,9,Tuesday,27,1,0,Morning
7,2017,7,5,12,Wednesday,27,1,0,Afternoon
8,2017,7,5,10,Wednesday,27,1,0,Morning
9,2017,7,5,14,Wednesday,27,1,0,Afternoon
10,2017,7,7,7,Friday,27,0,0,Morning
11,2017,7,6,17,Thursday,27,1,0,Evening
12,2017,7,5,9,Wednesday,27,1,0,Morning
13,2017,7,7,9,Friday,27,1,0,Morning
14,2017,7,4,13,Tuesday,27,1,0,Afternoon
15,2017,7,6,16,Thursday,27,1,0,Afternoon
16,2017,7,7,11,Friday,27,1,0,Morning
17,2017,7,3,13,Monday,27,1,0,Afternoon
18,2017,7,4,7,Tuesday,27,0,0,Morning
19,2017,7,3,7,Monday,27,0,0,Morning
20,2017,7,3,9,Monday,27,1,0,Morning
21,2017,7,5,17,Wednesday,27,1,0,Evening
22,2017,7,6,12,Thursday,27,1,0,Afternoon
23,2017,7,6,14,Thursday,27,1,0,Afternoon
24,2017,7,6,7,Thursday,27,0,0,Morning
25,2017,7,3,12,Monday,27,1,0,Afternoon
26,2017,7,3,11,Monday,27,1,0,Morning
27,2017,7,4,18,Tuesday,27,0,0,Evening
28,2017,7,4,10,Tuesday,27,1,0,Morning
29,2017,7,6,9,Thursday,27,1,0,Morning
30,2017,7,5,7,Wednesday,27,0,0,Morning
31,2017,7,3,18,Monday,27,0,0,Evening
32,2017,7,4,17,Tuesday,27,1,0,Evening
33,2017,7,4,8,Tuesday,27,0,0,Morning
34,2017,7,4,14,Tuesday,27,1,0,Afternoon
35,2017,7,6,13,Thursday,27,1,0,Afternoon
36,2017,7,3,8,Monday,27,0,0,Morning
37,2017,7,7,13,Friday,27,1,0,Afternoon
38,2017,7,7,15,Friday,27,1,0,Afternoon
39,2017,7,4,12,Tuesday,27,1,0,Afternoon
40,2017,7,3,10,Monday,27,1,0,Morning
41,2017,7,6,18,Thursday,27,0,0,Evening
42,2017,7,3,16,Monday,27,1,0,Afternoon
43,2017,7,3,14,Monday,27,1,0,Afternoon
44,2017,7,5,18,Wednesday,27,0,0,Evening
45,2017,7,7,8,Friday,27,0,0,Morning
46,2017,7,5,13,Wednesday,27,1,0,Afternoon
47,2017,7,4,11,Tuesday,27,1,0,Morning
48,2017,7,4,15,Tuesday,27,1,0,Afternoon
49,2017,7,7,10,Friday,27,1,0,Morning
50,2017,7,5,15,Wednesday,27,1,0,Afternoon
51,2017,7,6,8,Thursday,27,0,0,Morning
52,2017,7,5,16,Wednesday,27,1,0,Afternoon
53,2017,7,5,8,Wednesday,27,0,0,Morning
54,2017,7,6,10,Thursday,27,1,0,Morning
55,2017,7,4,16,Tuesday,27,1,0,Afternoon
56,2017,7,3,17,Monday,27,1,0,Evening
57,2017,7,3,15,Monday,27,1,0,Afternoon
58,2017,7,6,11,Thursday,27,1,0,Morning
59,2017,7,7,14,Friday,27,1,0,Afternoon
60,2017,7,7,17,Friday,27,1,0,Evening
61,2015,1,22,11,Thursday,4,1,0,Morning
62,2015,1,22,12,Thursday,4,1,0,Afternoon
63,2015,1,22,13,Thursday,4,1,0,Afternoon
64,2015,1,22,14,Thursday,4,1,0,Afternoon
65,2015,1,22,15,Thursday,4,1,0,Afternoon
66,2015,1,22,16,Thursday,4,1,0,Afternoon
67,2015,1,22,17,Thursday,4,1,0,Evening
68,2017,7,5,21,Wednesday,27,0,0,Night
69,2017,7,7,4,Friday,27,0,0,Night
70,2017,7,4,5,Tuesday,27,0,0,Night
71,2017,7,5,20,Wednesday,27,0,0,Evening
72,2017,7,3,2,Monday,27,0,0,Night
73,2017,7,7,1,Friday,27,0,0,Night
74,2017,7,7,21,Friday,27,0,0,Night
75,2017,7,3,22,Monday,27,0,0,Night
76,2017,7,6,20,Thursday,27,0,0,Evening
77,2017,7,3,5,Monday,27,0,0,Night
78,2017,7,5,4,Wednesday,27,0,0,Night
79,2017,7,4,0,Tuesday,27,0,0,Night
80,2017,7,6,2,Thursday,27,0,0,Night
81,2017,7,3,23,Monday,27,0,0,Night
82,2017,7,5,6,Wednesday,27,0,0,Morning
83,2017,7,5,3,Wednesday,27,0,0,Night
84,2017,7,4,4,Tuesday,27,0,0,Night
85,2017,7,4,1,Tuesday,27,0,0,Night
86,2017,7,3,1,Monday,27,0,0,Night
87,2017,7,7,19,Friday,27,0,0,Evening
88,2017,7,6,22,Thursday,27,0,0,Night
89,2017,7,5,19,Wednesday,27,0,0,Evening
90,2017,7,7,6,Friday,27,0,0,Morning
91,2017,7,3,0,Monday,27,0,0,Night
92,2017,7,5,5,Wednesday,27,0,0,Night
93,2017,7,4,20,Tuesday,27,0,0,Evening
94,2017,7,6,6,Thursday,27,0,0,Morning
95,2017,7,6,0,Thursday,27,0,0,Night
96,2017,7,7,5,Friday,27,0,0,Night
97,2017,7,7,2,Friday,27,0,0,Night
98,2017,7,5,23,Wednesday,27,0,0,Night
99,2017,7,3,20,Monday,27,0,0,Evening
100,2017,7,6,1,Thursday,27,0,0,Night
101,2017,7,4,3,Tuesday,27,0,0,Night
102,2017,7,4,22,Tuesday,27,0,0,Night
103,2017,7,6,19,Thursday,27,0,0,Evening
104,2017,7,4,2,Tuesday,27,0,0,Night
105,2017,7,7,22,Friday,27,0,0,Night
106,2017,7,3,19,Monday,27,0,0,Evening
107,2017,7,3,6,Monday,27,0,0,Morning
108,2017,7,5,0,Wednesday,27,0,0,Night
109,2017,7,3,3,Monday,27,0,0,Night
110,2017,7,5,1,Wednesday,27,0,0,Night
111,2017,7,5,2,Wednesday,27,0,0,Night
112,2017,7,4,6,Tuesday,27,0,0,Morning
113,2017,7,6,3,Thursday,27,0,0,Night
114,2017,7,7,23,Friday,27,0,0,Night
115,2017,7,7,0,Friday,27,0,0,Night
116,2017,7,4,21,Tuesday,27,0,0,Night
117,2017,7,6,5,Thursday,27,0,0,Night
118,2017,7,6,23,Thursday,27,0,0,Night
119,2017,7,4,19,Tuesday,27,0,0,Evening
120,2017,7,6,21,Thursday,27,0,0,Night
121,2017,7,7,20,Friday,27,0,0,Evening
122,2017,7,7,3,Friday,27,0,0,Night
123,2017,7,6,4,Thursday,27,0,0,Night
124,2017,7,5,22,Wednesday,27,0,0,Night
125,2017,7,3,4,Monday,27,0,0,Night
126,2017,7,3,21,Monday,27,0,0,Night
127,2017,7,4,23,Tuesday,27,0,0,Night
